sku,name,unit,current_stock,reorder_threshold,supplier_name,lead_time_days,category,notes,unit_price
BB-17890,Prasaranyadi Kwath,unit,767.0,131.0,CareWell Distributors,7,Beauty & Hygiene,"Prasaranyadi Kwath is a classical Ayurveda formulation in decoction form, beneficial in joint disorders and musculoskeletal problems. It helps relieve pain and stiffness associated with upper extremities as in cases of frozen shoulder, cervical spondylosis etc. The intake of this Kwath helps in attaining faster relief from motor neuron diseases, demyelination disorders, spinal cord compression and cervical myelopathy",110.0
BB-1791,Antiseptic Disinfectant Liquid,unit,660.0,115.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Dettol Antiseptic Liquid protects you and your family from 100 illness-causing germs. It comes in a fresh pine fragrance. The topical antiseptic liquid sanitizes your home and helps maintain your personal hygiene. The Dettol first aid antiseptic liquid can be used to protect against infection from cuts and scratches, disinfect toys, and sanitize baby wear leaving everything clean and fresh. It can also be used as a household disinfectant and cleaner on surfaces or in laundry cleaning to kill germs. This liquid antiseptic is recommended by the Indian Medical Association and can be kept in your emergency first aid kit. *Protects from 100 illness-causing germs and Coronavirus causing COVID19 virus. Proven to be >99.9% effective at inactivating SARS-CoV-2, the virus that causes COVID19, when used at 1:40 dilutions with 5 minutes contact time; As per standard testing protocol.",167.0
BB-17913,Masala - Kulambu Chilly,unit,3495.0,763.0,Masala King,7,"Foodgrains, Oil & Masala","Aachi Kulambu Chilly Masala is made from fresh and natural ingredients in accurate compositions. This masala is acclaimed for its high aroma, brilliant ability and freshness to add an extra flavour to your food which is recognized for its mouthwatering taste process to make sure for accurate quality, composition and purity.",53.1
BB-17968,3D Intense Revitaliser Serum,unit,121.0,24.0,DermaCare Solutions,7,Beauty & Hygiene,"Intense skin revitalising serum with red algae extract (with the benefits of niacinamide and glycerin) in 30 ml serum, featuring lush marine botanicals extracts that maximise moisture replenishment while enhancing skin natural ability to retain moisture. It reduces over-production of TNF alpha, hence reduces photo-induced skin redness and uneven skin tone. It prevents cellular lipid oxidation and stimulates skin barrier protein to improve skin appearance.",412.5
BB-17994,"Chai/Stainless Steel Coffee Mug - Good Ideas, Double Walled",unit,44.0,55.0,Modern Kitchen Co.,1,"Kitchen, Garden & Pets","A perfect mug for coffee lovers. It is a stainless steel double-walled mug which can retain hot inside and keep outside at normal temperature. It has a permanent and fade-proof message on a mug - Good Ideas Begin With Great Coffee. It comes in good packaging and it will have no changes in taste and has no odours. It is all drink safe, eco-friendly, strong and durable. It is safe and hygienic. It has zero sweating on the mug, which avoids the requirement of a coaster. The handle is attached to the body of the mug by brazing to avoid any gaps and make it cleaner and less susceptible to bacteria/germs.",415.0
BB-18009,Phalkalyan Ghrita - For Women's Health,unit,1254.0,212.0,DermaCare Solutions,7,Beauty & Hygiene,Baidyanath Phalkalyan Ghrit acts as an endocrinal stimulant and alterative and uterative tonic. It helps keep mother and child healthy during pregnancy. Phalkalyan Ghrit ensures nourishment of fetus. It is also used for sterility in women and aphrodisiac.,280.0
BB-1801,Coconut Oil - Cold Pressed,unit,786.0,226.0,Exotic Ingredients Co.,7,Gourmet & World Food,"Coconut Oil is supportive of skin health, works as a great moisturiser and delivers antibacterial, antiviral, antifungal protection, as well as anti-inflammatory benefits. Cold pressed coconut oil is ideal for use in baking. The cold-pressed oil possesses a nutty and delicate flavour that coconut is well-known for. Cold-pressed coconut oil is made without any heat. The coconut meat is scooped out and pressed so that you are left with pure coconut oil in the end.",240.0
BB-18010,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",unit,340.0,101.0,Britannia Regional Hub,7,Snacks & Branded Foods,"‘New Kellogg’s Muesli with 21% Fruit, Nut & Seeds’, with the goodness of five baked grains (Wheat, Corn, Rice, Barley and Oats) and an abundance of dried fruits, nuts & seeds is carefully crafted for flavor and texture. Say Hello to a delightful breakfast, filled with multigrain goodness that will jump-start your mornings and get you ready for the day. It has the goodness of multigrain and 21% fruit, nut & seeds making for a nourishing and tasty meal. Its beauty lies in its simplicity! Have it right out of the bag or have it in a bowl and pour some milk on it or couple it with yogurt. Just take a handful of Kellogg’s Muesli and feel nature’s bounty in its grainy, nutty and fruity goodness!",275.0
BB-18014,Extra Virgin Olive Oil,unit,292.0,90.0,Exotic Ingredients Co.,7,Gourmet & World Food,"As a condiment for vegetables, meat, fish and other recipes that require a delicate dressing. Since 1939, the family-owned and managed Pietro Coricelli has been making olive oil with passion, focus and commitment to innovation and tradition. An art that has been passed down from generation to generation. The Company can assert that all of its quality certifications confirm to the highest standards.Made from a careful blending of Extra Virgin Olive Oils of the Mediterranean Basin directly selected by Pietro Coricelli for their particular characteristics, such as taste, delicate perfume and full body.Olive oil is rich in antioxidants and has strong inflammatory properties. It prevents strokes, reduces the risk of cancer, obesity, and prevent premature ageing.",210.0
BB-18050,Kera-Veda Soyashine Soya Protein & Brahmi Shampoo,unit,3656.0,613.0,CareWell Distributors,7,Beauty & Hygiene,Lotus Herbals Kera-Veda Soyashine Soya Protein & Brahmi Shampoo is the balanced formulation of brahmi and soya protein that nourishes and strengthens the delicate hair and make it bouncy and voluminous. Hydrolyzed soya protein present in the shampoo helps in strengthening of hair and protect it against damage. It consists of brahmi that darkens your hair colour and enhances hair growth. It cleanses the hair thoroughly and comes in decent packaging which is travel-friendly. It is an effective herbal shampoo without any side effects. It softens the hair and lathers well and rinses off thoroughly. It has no harmful chemicals and no added preservatives. It is clinically proven for its mildness and anti-allergic properties.,225.0
BB-18065,Organic - Ragi Flour/Ragi Hittu,unit,1206.0,259.0,Masala King,7,"Foodgrains, Oil & Masala","Turn Organic brought to you its Premium, fresh and healthy Organic Ragi Flour with no added pesticides and fertilizers. It is rich in calcium and protein and also have good amount of iron and other minerals.",49.5
BB-18067,Moong Dal,unit,249.0,73.0,Britannia Regional Hub,7,Snacks & Branded Foods,"It is a fun way to enjoy the goodness of dhal fired to perfection and salted just right, every bite gives you crunchy & tasty experience.",50.0
BB-18079,Refreshing Cleansing Milk,unit,800.0,240.0,Glamour Care Distributors,7,Beauty & Hygiene,"Himalaya Cleansing Milk with Lemon & Menthol is a special blend of herbs that smoothly reduces dirt, makeup and daily impurities while maintaining your skin's natural moisture balance. It is a natural cleanser and astringent clarifies and refreshes and rejuvenates and cools your skin to maintain it clear, healthy and radiant.For Beauty tips, tricks & more visit https://SIRA.blog/",76.0
BB-18093,Cinnamon-Infused Honey,unit,547.0,162.0,Chef's Basket Supplies,7,Gourmet & World Food,"Honey Twigs is made with the finest Sri-Lankan natural cinnamon powder infused with our premium, unadultered and pure Honey gives this sweet-n-spice infusion its aromatic flavor, making it a perfect addition to your desserts, beverages or creating a healthy addiction. _x000D_
_x000D_
Measured as a teaspoon, this is your perfect mess-free sweetener, replacing table sugar for everyday use. #HiHoneyByeSugar _x000D_
_x000D_
If you are looking to boost your immunity, look no further!  _x000D_
Honey Twigs is also a great companion if you want to manage your weight more effectively and improve your digestion. Recent studies show that people who consume honey with warm water every morning, showed significant improvement in stamina, digestion, cholesterol level & waist/hip size, helping them live healthier lifestyles. This superfood has high fructose content, making it a well-known cure for colds and mouth, throat or bronchial irritations and infections too. _x000D_
At Honey Twigs our mission is to help you live healthier lifestyles by making small changes in every day eating habits.",102.0
BB-18100,"Tejas LED Bulb - 7 Watt, White, Cool Day, B22",unit,1480.0,243.0,Modern Kitchen Co.,7,"Kitchen, Garden & Pets",This high brightness LED comes with an efficacy up to 90lm/W. It has an aluminium heat sink for better heat dissipation. It comes with diffuser optics for a glare-free light which is safe for eyes.  It is LM 80 tested by SMD LED technology. This bulb can take high voltage fluctuation up to 380VAC and surge protection up to 2.5KV.,105.0
BB-18122,22 Carat Bikaneri Papad - Small,unit,165.0,51.0,CrunchTime Snacks,7,Snacks & Branded Foods,"BA KABRA Bikaneri Premium Papad celebrates the rich history of Rajasthan. Taste the authentic flavours of Rajasthan with each bite. Its taste will transport you to the historic and radiant climes of Rajasthan. If you are a lover of traditional taste, you will surely love the taste of Bikaner papad. Quick and easy to prepare.
 Benefits
1. Made with all-natural and healthy ingredients.
2. Quick and easy to make appetizer or snack.
3. Brings to the rich and authentic flavours of Rajasthan.",54.0
BB-18133,"Shot Body Spray- Absolute Series, Game",unit,432.0,74.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Energetic strong and stirred with action, X-MEN Charge Body Deodoratnt has the fragrance of pure desire in the most dashing way. Stay irrestible, 24x7.",186.75
BB-18137,Refreshing Body Oil With Terai Mint & Sugandhara,unit,228.0,38.0,PureSkin Essentials,7,Beauty & Hygiene,"Fiama refreshing Body Oil with Terai Mint & Sugandhara is here to awaken your senses. Uplift your mood & bring back the joy of bathing. That's what terai mint & sugandhara were meant to do- awaken senses and uplift mood. Your skin is energised & refreshed. Use it every day and get softer, smoother, hydrated skin that glows. It is dermatologist tested to be safe on the skin, paraben & silicone free.",399.0
BB-18140,Indian Jujube Blossom Honey,unit,2812.0,836.0,Continental Flavors,7,Gourmet & World Food,"A rare and exotic mono-floral honey harvested from the blossoms of the Indian Jujube tree. Also called ‘Ber’ in Hindi, the Indian Jujube fruit is rich in calcium, magnesium, potassium and phosphorous. _x000D_
Sakurafresh’s Indian Jujube Blossom Honey is 100% raw, unheated and unpasteurized, preserving all the delicate enzymes and health-promoting qualities derived from the Indian Jujube flowers. Finally, you can experience the delight of one of nature’s finest gifts in a raw and unprocessed form.",415.0
BB-1815,Bael - Tablets (Wellness),unit,244.0,43.0,CareWell Distributors,7,Beauty & Hygiene,"Himalaya Bael is a superb fruit that exhibits antibacterial and antiviral activity beside pathogens which cause intestinal infections such as infectious diarrhea. It also contains anti-inflammatory properties, which facilitates in the management of inflammatory intestinal disorders such as colitis.  For Beauty tips, tricks & more visitÃ‚ https://SIRA.blog/",119.68
BB-18159,Skin Fit - Post-Workout Cooldown Hydrating Gel,unit,1730.0,299.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Use the Pond’s Skin Fit Post-Workout Cooldown Hydrating Gel Moisturiser after a workout session for de-stressing, hydrating and rebalancing your skin, after the toughest workout. It protects the skin from pollution-induced dryness and dullness. This gel moisturiser has a refreshing & non-sticky feel which helps give your skin a post-workout glow. Suitable for use after a workout session at the gym, running, jogging, exercising, cycling, swimming, Zumba, yoga, etc. As you work out, the skin temperature goes up and pores open up as per natural process but if the skin doesn’t cool down soon enough then it is subject to aggressors like dirt, dust, pollutants that get into the skin through the pores which are not good for the skin. This gel moisturiser helps cool your skin down and soothes your skin from the post-workout redness, burning sensation and gives relief to the skin after a workout session. When you work out you sweat, and your skin gets dehydrated. This gel moisturiser helps rehydrate your skin and replenishes the moisture lost while you sweat it out. It is non-comedogenic and not tested on animals.Your skin needs protection during the workout and care post-workout so that you can continue to sweat now while you glow later. The Pond’s Skin Fit range is a breakthrough skincare range for fitness enthusiasts. The range consists of Pre-Workout and Post-Workout products. Other products in the Pond’s Skin Fit range include - Pond’s Skin Fit Pre-Workout High-performance Sunscreen SPF 50 50g, Pond’s Skin Fit Pre-Workout High-performance Pollution Defence Crème 50g, Pond’s Skin Fit Post-Workout Cooldown Scrub Facewash 100g and Pond’s Skin Fit Post-Workout Cooldown Hydrating Gel 50g.",335.04
BB-18160,Stainless Steel Lunch Box/Tiffin Set - Green BB573GRN,unit,2815.0,477.0,KitchenCraft Supplies,7,"Kitchen, Garden & Pets","Packing lunch for your loved ones made easy with this olive green lunch box by Tedemei. Made of high-quality stainless steel on the inside, these lunch boxes are sturdy and durable and are easy to clean. The lunch box is airtight which helps in keeping the food fresh for long and maintain hygiene. It is a double-layer lunch box, which lets you pack solid and liquid food separately. The lunch box features convenient and sleek handle design making it easy to open the lid and lets you carry the lunch box with absolute ease. The modish and stylish looking lunch boxes will be admired by everyone.",409.0
BB-18169,Face Mask With Vitamin C & Kaolin Clay 100g +Skin Illuminate Vitamin C Serum 30g,unit,264.0,49.0,CareWell Distributors,7,Beauty & Hygiene,"Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin IlluminitationWe all dream of bright and spotless skin. But the hustle of daily life often takes a toll on our skin’s health. Dirt, pollution, UV rays, and extreme weather conditions damage the skin while stealing its natural glow.Mamaearth Vitamin C Face Mask will help bring back that radiance! Power-packed with the goodness of Vitamin C and Kaolin Clay, it will make your skin bright, healthy, and spotless.The product is dermatologically tested and is suitable for all skin types. It contains no Parabens, harmful chemicals, toxins, or mineral oils and is 100% safe to add to your skincare regimen. Skin Illuminate Vitamin C Serum For Radiant Skin with High Potency Vitamin C & TurmericVitamin C – one of the most well-known & well-researched skincare ingredients, has been a preferred solution to many skincare problems for ages. Mamaearth Skin Illuminate Face Serum, with the power of Vitamin C & Turmeric, helps you achieve a radiant glow, reduces hyperpigmentation & fine lines from your early wrinkle-prone areas such as crow’s feet, smile lines, etc.Mamaearth Skin Illuminate Face Serum is free of harmful toxins such as Parabens, Mineral Oil, Silicones, etc.",1098.0
BB-18250,Ice Cream - Blueberries & Cream,unit,761.0,222.0,Exotic Ingredients Co.,7,Gourmet & World Food,"Flavours to choose from, you will be spoilt for choice. Its an unadulteratedÃ‚Â ice creamÃ‚Â bliss",750.0
BB-18264,N150 Man Cool Paranoia Eau De Toilette,unit,332.0,60.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Baldessarini Ambre Cologne is built around a whisky accord and complemented by top notes of mandarin and red apple, leading to a heart of violet, offset by a leather accord. With a base that blends notes of amber, oakwood, vanilla and labdanum.  For Beauty tips, tricks & more visit https://SIRA.blog/",758.1
BB-18266,Meetha Paan - With Real Gulkand,unit,883.0,262.0,SavoryBites Supply,7,Snacks & Branded Foods,"Unibic Meetha Paan with real Gulkand is a tasty, healthy and hygienic way of consuming paan. Comes with no zarda no supari, it has calcium and iron from betel leaves, and the fennel seeds give you the fresh breath. Additionally, it has real Gulkand and papaya. Unibic Meetha Paan Snack Bar boosts heart health because of the rose petals in it. It also gives you 13.5% of fibre.",30.0
BB-18293,Beauty Cream,unit,863.0,151.0,MedLife Wholesale,7,Beauty & Hygiene,"This Patanjali Beauty Cream has a unique blend of herbs that enhances the beauty and glow of the skin also, makes it soft and smooth. This product is from the house of Herbal and has a shelf life of 48 months.",70.0
BB-18295,Bottle Opener - Stainless Steel,unit,257.0,48.0,PetCare Wholesale,7,"Kitchen, Garden & Pets","These hand-held flat bottle openers are made of stainless steel, making them durable enough to keep the tops popping off. This tool is easy to use. This stainless steel bottle opener with plastic curve handle for fine grip.",65.0
BB-18307,Poha,unit,1162.0,337.0,SweetSource Regional,7,Snacks & Branded Foods,Dehydrated food product in a plastic tub packaging. Add boiling water to prepare.,45.0
BB-18308,Rosemary,unit,3215.0,690.0,GrainCo Vijayawada,7,"Foodgrains, Oil & Masala","Rosemary is a perennial herb with fragrant needle-shaped leaves. The leaves have a slightly bitter taste and give a distinct mustard-like smell when burned. Also, its leaves have been known for centuries in possessing a number of medicinal properties. This herb is a member of the mint family.",92.65
BB-18309,"Glass Casserole With Lid - Round, Angelica",unit,180.0,25.0,Modern Kitchen Co.,7,"Kitchen, Garden & Pets","The fusilli spiral on the wooden spoon is just right. We won't guarantee the effect to replicate with any other bake ware. As it's made of borosilicate glass, our bakeware can handle temperature as high as 300 degree Celsius. So you can use them to make cookies too. Made of borosilicate glass and is guaranteed to withstand temperatures of up to 300-degree centigrade.",659.0
BB-18311,Classic Instant Coffee,unit,18.0,33.0,Hydration Hub,2,Beverages,"With a rich and aromatic cup of Nescafe Classic Instant Coffee, make a refreshing start to your mornings with a healthy dose of caffeine. The intense taste coupled with a rich aroma gives a kick-start to your mornings. Awaken your senses every morning or whenever you want with a cup of Nescafe Classic coffee. Relish premium frothy instant coffee at home with this Nestle classic coffee. The Nestle classic coffee is made of carefully selected roasted beans to offer you a refreshing experience with every sip. Enjoy drinking 100% pure and flavourful coffee any time of the day.",550.0
BB-18326,"Romance, Rose Shower Gel With Skin Conditioners",unit,3517.0,608.0,DermaCare Solutions,7,Beauty & Hygiene,"Bathe with fragrance.Escape to the shower for a pampering experience. Romance is infused with soothing skin conditioners, aromatherapy blend of essential oils and natural ingredients which brightens the complexion, purifies skin and has anti-inflammatory properties.  For Beauty tips, tricks & more visit https://SIRA.blog/",299.0
BB-1833,Perfect Radiance Intense Whitening Serum,unit,5228.0,896.0,DermaCare Solutions,7,Beauty & Hygiene,Get hydrated skin and a glossy finish with Lakme Absolute Skin Gloss Reflection Serum. Just a few drops of this serum are enough to do the magic. It accentuates your skins natural shine to give you a stunning glossy look. Its formulated with an aqueous veil with mineral-laden glacial water which will leave your skin feeling radiant and nourished. Buy the Lakme Absolute Skin Gloss Reflection Serum and give your skin the moisturising gloss back!.,828.75
BB-18335,Glass Cleaner - Aquatic,unit,180.0,328.0,SparkleClean Distributors,7,Cleaning & Household,"Germisol Aquatic Cleaner for sparkling, glowing and perfectly clear glass and glossy surface with an energizing, cooling and relaxing aquatic aroma.",52.0
BB-18353,"Shower Sponge - Green & White, Colour May Vary",unit,321.0,49.0,PureSkin Essentials,7,Beauty & Hygiene,Panache shower sponge with 9 knots rope features mesh braids that can be stretched conveniently while using. Apply shower gel or soap for easy exfoliation and lather. The braided mesh straps have grip cords on both ends to stretch the braid across hard to reach back and shoulder areas. Rinse and air dry after a bath.,159.2
BB-18370,Lavender Essential Oil,unit,2333.0,392.0,CareWell Distributors,7,Beauty & Hygiene,"NECTAR VALLEY LAVENDER ESSENTIAL OIL is a 100% pure, highly concentrated and undiluted plant extract, steam distilled with multiple quality control checks. We follow strict procedures to protect the natural properties of the oil during extraction & packaging. Lavender Essential Oil can be used on diffusers simply place a few drops of oil into the upper reservoir with a small amount of water place a lighted tea candle inside the burner base and enjoy the ultimate aroma.",250.0
BB-18375,Organic - Sunflower Oil,unit,260.0,54.0,Spices of India,7,"Foodgrains, Oil & Masala","Pure & Sure is a range of Certified Organic Foods Products from Phalada Agro, It is a natural step to extend our know-how and expertise of Organic food, to provide the consumer a healthy and delectable experience of Pure organic food, The 'ethos' of the brand lies in the name itself which urges you to, ""Take a step towards a more healthy living"",Unlike many others, Pure & Sure is a healthy result of a seamless effortof Phalada Agro which is involved throughout the supply chain, right from the development of Organic Agri-inputs to a nourishing finalproduct which reaches your kitchen, By choosing to go the organic way, here's how Pure & Sure contributes to your health No more chemical concoctions entering your body An authentic taste at all meals, A surge of vitamins, minerals, enzymes and other micro-nutrients adding to your health Preventing you from perilous Ingredients which may cause fatal diseases like cancer, respiratory problems and other major diseases, All of Phalada products are sourced directly from farmers and processed under hygienic condition in a GMP Certified Processing Facility with more than 10 years of experience in Organic Agriculture, Phalada works with more than 1000 certified farmers across India.",335.0
BB-18382,Total Advanced Health Anticavity Toothpaste,unit,176.0,31.0,PureSkin Essentials,7,Beauty & Hygiene,"Colgate Total Advanced Health is an anti-cavity plus anti-gingivitis toothpaste, which effectively fights germ build-up for superior oral health vs. regular fluoride toothpaste. Effective decay preventive dentifrice prevents and reduces gingivitis when used as directed in a conscientiously applied programme of oral hygiene and regular professional care. It helps reduce the formation of plaque and tartar above the gum line when used regularly. The unique clinically proven formula creates an anti-germ barrier and protects 100% of the surfaces of the mouth including teeth, tongue, cheeks, and gums. Colgate Total Advanced Health Toothpaste works like a protective shield around your teeth and gums fighting germs non-stop for 12 hours, even after drinking and eating. Colgate is India’s No. 1 brand recommended by dentists and offers unique oral hygiene solutions to ensure complete protection against germs and plaque build-up.Features:12-hour protection for whole mouth covering teeth, tongue, cheeks and gums.Effectively fights germ build-up for superior oral health vs. regular fluoride toothpaste.Effective decay preventive dentifrice to prevent and reduce gingivitis when used as directed.Its unique, clinically proven formula which creates an anti-germ barrier.Always 100% vegetarian.",68.5
BB-18405,"Perfumed Deo Spray - Charming, For Women",unit,3573.0,602.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Enchanteur Charming Perfumed Deo Spray will make you feel the fragrance of French Romance with the exotic mix of rose, muguet with a pinch of citrus. The fragrance lasts for 24 hours and the soft floral feminine fragrances are inspired by France, which is the birthplace of the best perfumes. Wrap yourself in the luxury of this irresistible scent and reveal your natural romantic self. It has a long-lasting enchanting citrusy and floral fragrance. It gives you protection against bad odour.",152.0
BB-18421,Organic Green Moong Dal/Hesaru Bele - Whole,unit,641.0,136.0,Masala King,7,"Foodgrains, Oil & Masala","Whole green moong dal is a delicious vegetarian superfood that is low in carbs and high in protein. An integral part of Indian cuisine, green moong dal can be eaten cooked as lentils or soaked overnights as sprouts. Our whole green moong dal is extremely rich in nutrients with a natural shine and color that is not artificial but a result of a strict growing process. Free from impurities such as stones or insects, our Moong Dal is packed with protein and low carbs. _x000D_
_x000D_
Light on the stomach the dal is a good dish to have during illness. It helps bring down the insulin, blood glucose and fat levels in the body.",125.0
BB-18428,Fruit Power Juice - Pineapple,unit,2205.0,673.0,Hydration Hub,7,Beverages,"Real Pineapple is made of a whopping 75 per cent pineapple juice content for a strong healthy drink. Its unique digestive properties make for an ideal fruit beverage to accompany meals, no matter the season. A perfect fruit blend which can be consumed at any time of the day to keep your energy level on check.",72.0
BB-18434,Brass Fancy Kerela Samay Diya Oil Diwali Puja Lamp S10 - Golden,unit,369.0,85.0,CleanHome Supplies,7,Cleaning & Household,Accentuate your pooja room with addition of this stunning Pooja accessories from Hazel. Featuring durable steel construction.,689.0
BB-18445,"Glass Water Bottle With Round Base - Red, BB1361",unit,666.0,115.0,KitchenCraft Supplies,7,"Kitchen, Garden & Pets","A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time.",209.0
BB-18447,"Disinfectant - Spray, Original, 225 ml + Skin & Surface Wipes, Original 40 pcs",bottle,463.0,100.0,SparkleClean Distributors,7,Cleaning & Household,"Dettol Disinfectant spray protects you and your family from 100 illness-causing germs and bacteria. Proven to be >99.9% effective at inactivating any kind of harmful germs with 5 minutes contact time when tested under dirty conditions, as per standard testing protocol. This alcohol (denatured) surface disinfectant spray sanitizes your home and eliminates odour causing bacteria. It helps in killing cold and flu germs. 
Dettol disinfectant spray can be used in the toilet area, dustbin, kitchen sink, shower bases, taps, sofas, curtains, carpets, car seats etc. leaving everything clean and fresh. It safely kills germs on everyday items and leaves behind a pleasant pine fragrance. This multipurpose disinfectant cleaner for home is recommended by the Indian Medical Association. 
 
Dettol's Disinfecting Skin & Surface Wipes are Safe on skin, ideal to clean multiple surfaces and easy to carry with a resealable moisture-lock lid. Dettol disinfecting wipes are practical for everyday use on furniture, fridges, taps, sinks, doorknobs, kitchen, bathroom surfaces, floor cleaning, children’s surfaces and electronics that are germ hotspots. It can be used on most hard, non-porous surfaces including finished wood, sealed marble, stainless steel, laminated floors, glass and plastic. Dettol Disinfecting wipes come in two variants, Original and Floral.",245.7
BB-18449,Perfecto Geometry Box Set,unit,2618.0,573.0,HomeCare Solutions,7,Cleaning & Household,"Innovative self-centring compass and divider for maximum accuracy and easy usage. Ruler, Protractor & Set Squares with specially tapered edges that lie flat on the paper. Specially designed for accuracy. Perfect calibration for accuracy. Sharpner with scientifically angled blades sharpens perfectly without breakage.",89.0
BB-18452,Banaba Leaves Powder - Supports Low Blood Pressure & Healthy Blood Flow,unit,517.0,89.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Lagerstroemia speciosa, the tropical flowering tree is one of the most outstanding summer bloomers. Lagerstroemia speciosa or banaba tree is a larger form of the more commonly grown L. indica (Crape myrtle.) It is called Queen Crape Myrtle because it's the Queen of the Crape Myrtles, dominating with grand size and larger, crinkled flowers. The name Crape myrtle is given to these tree/shrubs because of the flowers which look as if made from delicate crape paper. Banaba tree is grown in South East Asia, India and the Philippines & is also widely cultivated as an ornamental plant in tropical and subtropical areas._x000D_
Lagerstroemia or Banaba tree is harvested from the wild for local use as a medicine and source of materials. The wood is of good quality, considered to be one of the best timber trees in Myanmar and Assam, and is often traded. One of the most strikingly showy of flowering trees, and a good shade tree, it is commonly cultivated in gardens or along the sides of roads for its brightly coloured purple or pink flowers._x000D_
_x000D_
Lagerstroemia tree bark is useful to control loose motions and abdominal pain in various medical conditions. Banaba Leaves and dried fruits are traditionally made into herbal tea (known as Banaba Tea in Philippines) & consumed to support lowering of high blood pressure & blood sugar and kidney functions. Banaba leaves extracts available as health supplements, purportedly effective for blood sugar control and weight loss._x000D_
Modern medical research shows that banaba leaf extracts promotes hypoglycemic (glucose-lowering) effects due to presence of tannins & triterpene acid called Corosolic which supports glucose metabolism. Scientific studies also showed promising effects of banaba leaf extracts on controlling blood cholesterol levels when consumed in recommended dosage on regular basis.",245.0
BB-1846,Organic Ginger Sliced,unit,486.0,106.0,Spices of India,7,"Foodgrains, Oil & Masala","MeraKisan Organic Sliced Ginger Root has various applications to include both sweet and savoury cooking. Ginger Root, one of the worlds oldest spices, has a hot, spicy flavour that is sharp and refreshing. It is a ubiquitous spice in Asian cuisines. It is all natural and 100% satisfaction is guaranteed.",56.0
BB-18485,100% Melamine Tumbler Set - Green,unit,720.0,118.0,Modern Kitchen Co.,7,"Kitchen, Garden & Pets","Iveo Melamine products are made from 100% pure melamine which is 100% food-grade in nature. These are heat resistant, break-resistant, freezer safe, stain-resistant, colourfast & scratch resistant. These products can also be used in a microwave oven for the re-heating purpose only. These are stain-resistant products so there will be no food stain mark on it. These are also dishwasher safe.",149.0
BB-18498,Tea Tree Essential Oil,unit,1318.0,224.0,MedLife Wholesale,7,Beauty & Hygiene,"A pure essential oil that is steam distilled from the leaves and twigs of Tea Tree that is well known for its beauty applications and also adds to general well being. One of its most common uses today is to effectively and quickly spot treat acne, blemishes and pimples without any over-drying, redness and tightness.As an anti-inflammatory agent, it relieves a variety of skin irritations including eczema and psoriasis. Also very beneficial for the health of hair and scalp with its ability to soothe dry flaking, remove dandruff and can even be used for the treatment of lice. When diffused, it strengthens the vital energy within the body, energises the heart and mind and uplifts the spirit.",750.0
BB-18512,Jwalini Retexturising Skin Treatment Oil,unit,2109.0,361.0,Personal Care Plus,7,Beauty & Hygiene,"Prescribed in Ayurveda as a treatment for smooth, soft and clear skin, this oil treatment is formulated from natural herbs processed in pure Coconut milk and Sesame oil. It helps clear up skin irritation and itching. It is an excellent after-sun remedy for sunburnt, tanned or hyperpigmentation.It contains Costus and Cardamom which are known for their 'Varneekarana' properties - the ability to enhance skin texture and treat irritation. Regular use results in healthier, softer skin that is visibly smoother and radiant.",1625.0
BB-18518,Kanchanara Guggulu - 500 mg,unit,127.0,25.0,PureSkin Essentials,7,Beauty & Hygiene,"Kanchanara Guggulu is effectively in Cervical Lymphadenitis, Chronic Lymphadenopathy. It is also used to treat Cysts, Ulcers, Ulcers, Diseases of the skin Filariasis.This tablet breaks down deep-seated kapha, supports proper function of the thyroid and the lymphatic system.Also useful in treating goitre (nodules of the neck), tumours and extra growths.Also useful in skin diseases, sinuses and fistula.",80.0
BB-18542,Heat to Eat - Cheesy Pasta With Black Olives,unit,563.0,166.0,SweetSource Regional,7,Snacks & Branded Foods,"Pasta in a rich and creamy Gouda cheese flavoured sauce topped with olives creating the perfect comfort meal. Included in the box is a packet of mixed herb seasoning to add a twist to this classic dish! Just heat for 60 seconds in a microwave, or 3 to 5 minutes in a pot of boiling water and your delicious meal is ready! No further cooking or addition of ingredients required.",49.5
BB-18563,Charge Body Deodorant,unit,1928.0,330.0,DermaCare Solutions,7,Beauty & Hygiene,"Energetic strong and stirred with action, X-MEN Charge Body Deodoratnt has the fragrance of pure desire in the most dashing way. Stay irrestible, 24x7.",105.0
BB-18579,Green Tea Mugs With Message,unit,1046.0,183.0,PetCare Wholesale,7,"Kitchen, Garden & Pets","This set is perfect for green tea aficionados. A drink is as refreshing as the green tea deserves a special collection. Flaunt this awesome set in style when you entertain your friends, family and colleagues with this healthy drink.",1119.0
